,row_id,user_id,category_id,video_id,age,followers,views,gender_Female,gender_Male,profession_Other,profession_Student,profession_Working Professional,engagement_score
0,89198,7986,12,42,14,180,138,0,1,0,1,0,4
1,89199,11278,34,115,14,230,840,0,1,0,1,0,4
2,89200,17245,8,110,44,280,628,1,0,0,0,1,3
3,89201,9851,16,137,18,270,462,0,1,0,1,0,4
4,89202,16008,34,96,47,230,840,1,0,1,0,0,2
5,89203,5291,42,134,23,290,689,0,1,0,1,0,3
6,89204,22128,5,109,33,240,229,0,1,1,0,0,3
7,89205,23490,16,137,26,270,462,1,0,0,1,0,3
8,89206,4833,21,123,28,320,909,1,0,1,0,0,3
9,89207,12450,19,44,13,230,369,0,1,0,1,0,4
10,89208,11626,4,99,19,230,781,0,1,0,1,0,4
11,89209,25345,25,140,19,240,317,0,1,0,1,0,3
12,89210,15308,8,125,23,280,628,0,1,1,0,0,3
13,89211,15853,5,9,24,240,229,0,1,0,1,0,4
14,89212,11926,21,157,25,320,909,0,1,0,0,1,3
15,89213,16737,9,19,47,230,819,0,1,0,0,1,3
16,89214,19322,4,6,29,230,781,1,0,0,0,1,2
17,89215,4666,4,7,14,230,781,0,1,0,1,0,4
18,89216,24218,15,33,24,340,662,0,1,0,1,0,3
19,89217,23098,13,29,20,340,628,1,0,0,1,0,3
20,89218,13227,21,104,12,320,909,0,1,0,1,0,3
21,89219,27257,19,44,13,230,369,1,0,0,1,0,2
22,89220,13788,8,100,41,280,628,1,0,1,0,0,3
23,89221,7955,11,40,15,250,180,1,0,0,1,0,4
24,89222,18520,7,28,40,160,467,1,0,1,0,0,3
25,89223,18531,19,44,25,230,369,0,1,0,1,0,3
26,89224,12862,1,15,19,360,990,1,0,0,1,0,4
27,89225,18297,7,14,33,160,467,0,1,1,0,0,3
28,89226,21896,5,120,14,240,229,1,0,0,1,0,2
29,89227,8080,5,9,24,240,229,1,0,0,0,1,3
30,89228,26433,8,39,39,280,628,0,1,1,0,0,3
31,89229,209,34,96,18,230,840,1,0,0,1,0,2
32,89230,3754,1,1,17,360,990,1,0,0,1,0,2
33,89231,6426,19,121,31,230,369,0,1,0,0,1,3
34,89232,11560,16,137,23,270,462,1,0,0,1,0,3
35,89233,19767,25,61,37,240,317,1,0,1,0,0,3
36,89234,1752,15,33,22,340,662,0,1,1,0,0,3
37,89235,1387,8,39,23,280,628,0,1,1,0,0,4
38,89236,26067,5,158,19,240,229,1,0,0,1,0,2
39,89237,14694,8,17,16,280,628,0,1,0,1,0,4
40,89238,25923,16,97,16,270,462,0,1,0,1,0,3
41,89239,16220,12,25,40,180,138,0,1,1,0,0,3
42,89240,762,8,39,35,280,628,0,1,1,0,0,3
43,89241,7571,5,9,19,240,229,1,0,0,1,0,4
44,89242,12911,21,123,16,320,909,0,1,0,1,0,3
45,89243,20335,12,88,11,180,138,0,1,0,1,0,4
46,89244,14715,9,19,20,230,819,0,1,0,1,0,4
47,89245,199,5,158,36,240,229,0,1,0,0,1,3
48,89246,4127,34,95,27,230,840,0,1,1,0,0,3
49,89247,7629,34,114,26,230,840,1,0,1,0,0,2
50,89248,3014,15,113,15,340,662,0,1,0,1,0,3
51,89249,4033,5,10,26,240,229,1,0,0,0,1,3
52,89250,15819,8,100,15,280,628,0,1,0,1,0,3
53,89251,25816,5,87,35,240,229,1,0,1,0,0,2
54,89252,13727,25,150,33,240,317,0,1,1,0,0,3
55,89253,358,8,100,43,280,628,1,0,1,0,0,3
56,89254,16,19,1,16,230,369,1,0,0,1,0,2
57,89255,7589,31,85,15,230,156,1,0,0,1,0,4
58,89256,8590,19,121,34,230,369,1,0,0,0,1,3
59,89257,6041,5,56,36,240,229,0,1,0,0,1,3
60,89258,27727,31,85,17,230,156,1,0,0,1,0,3
61,89259,8419,21,122,28,320,909,0,1,0,0,1,3
62,89260,5330,34,115,23,230,840,1,0,0,1,0,2
63,89261,26263,15,113,32,340,662,0,1,0,0,1,3
64,89262,11284,15,33,20,340,662,0,1,0,1,0,3
65,89263,18465,25,150,24,240,317,0,1,1,0,0,3
