,row_id,engagement_score
0,89198,4
1,89199,4
2,89200,3
3,89201,4
4,89202,2
5,89203,3
6,89204,3
7,89205,3
8,89206,3
9,89207,4
10,89208,4
11,89209,3
12,89210,3
13,89211,4
14,89212,3
15,89213,3
16,89214,2
17,89215,4
18,89216,3
19,89217,3
20,89218,3
21,89219,2
22,89220,3
23,89221,4
24,89222,3
25,89223,3
26,89224,4
27,89225,3
28,89226,2
29,89227,3
30,89228,3
31,89229,2
32,89230,2
33,89231,3
34,89232,3
35,89233,3
36,89234,3
37,89235,4
38,89236,2
39,89237,4
40,89238,3
41,89239,3
42,89240,3
43,89241,4
44,89242,3
45,89243,4
46,89244,4
47,89245,3
48,89246,3
49,89247,2
50,89248,3
51,89249,3
52,89250,3
53,89251,2
54,89252,3
55,89253,3
56,89254,2
57,89255,4
58,89256,3
59,89257,3
60,89258,3
61,89259,3
62,89260,2
63,89261,3
64,89262,3
65,89263,3
66,89264,4
67,89265,3
68,89266,3
69,89267,3
70,89268,3
71,89269,2
72,89270,3
73,89271,3
74,89272,3
75,89273,3
76,89274,2
77,89275,3
78,89276,3
79,89277,2
80,89278,4
81,89279,3
82,89280,3
83,89281,3
84,89282,3
85,89283,4
86,89284,4
87,89285,2
88,89286,3
89,89287,3
90,89288,4
91,89289,4
92,89290,3
93,89291,3
94,89292,4
95,89293,4
96,89294,3
97,89295,3
98,89296,4
99,89297,4
100,89298,3
101,89299,4
102,89300,3
103,89301,4
104,89302,3
105,89303,2
106,89304,4
107,89305,4
108,89306,3
109,89307,3
110,89308,3
111,89309,4
112,89310,4
113,89311,3
114,89312,3
115,89313,3
116,89314,4
117,89315,3
118,89316,3
119,89317,2
120,89318,2
121,89319,2
122,89320,2
123,89321,4
124,89322,3
125,89323,4
126,89324,2
127,89325,3
128,89326,4
129,89327,4
130,89328,3
131,89329,3
132,89330,3
133,89331,4
134,89332,3
135,89333,4
136,89334,3
137,89335,4
138,89336,3
139,89337,3
140,89338,4
141,89339,2
142,89340,3
143,89341,3
144,89342,3
145,89343,3
146,89344,3
147,89345,3
148,89346,3
149,89347,4
150,89348,3
151,89349,3
152,89350,4
153,89351,3
154,89352,3
155,89353,4
156,89354,3
157,89355,4
158,89356,4
159,89357,4
160,89358,3
161,89359,3
162,89360,4
163,89361,4
164,89362,3
165,89363,2
166,89364,4
167,89365,2
168,89366,3
169,89367,2
170,89368,4
171,89369,3
172,89370,3
173,89371,4
174,89372,3
175,89373,3
176,89374,2
177,89375,4
178,89376,4
179,89377,4
180,89378,4
181,89379,4
182,89380,4
183,89381,4
184,89382,2
185,89383,3
186,89384,3
187,89385,4
188,89386,3
189,89387,3
190,89388,4
191,89389,3
192,89390,4
193,89391,3
194,89392,4
195,89393,3
196,89394,3
197,89395,2
198,89396,3
199,89397,3
200,89398,3
201,89399,3
202,89400,2
203,89401,3
204,89402,3
205,89403,4
206,89404,3
207,89405,4
208,89406,2
209,89407,4
210,89408,3
211,89409,4
212,89410,3
213,89411,3
214,89412,3
215,89413,4
216,89414,3
217,89415,2
218,89416,3
219,89417,3
220,89418,2
221,89419,4
222,89420,2
223,89421,2
224,89422,3
225,89423,4
226,89424,3
227,89425,4
228,89426,2
229,89427,3
230,89428,4
231,89429,3
232,89430,3
233,89431,3
234,89432,3
235,89433,4
236,89434,4
237,89435,3
238,89436,3
239,89437,2
240,89438,3
241,89439,2
242,89440,4
243,89441,3
244,89442,3
245,89443,3
246,89444,3
247,89445,4
248,89446,3
249,89447,2
250,89448,3
251,89449,2
252,89450,2
253,89451,4
254,89452,4
255,89453,2
256,89454,2
257,89455,3
258,89456,2
259,89457,3
260,89458,4
261,89459,2
262,89460,3
263,89461,3
264,89462,4
265,89463,3
266,89464,2
267,89465,4
268,89466,4
269,89467,3
270,89468,3
271,89469,3
272,89470,3
273,89471,2
274,89472,4
275,89473,2
276,89474,3
277,89475,3
278,89476,3
279,89477,3
280,89478,3
281,89479,2
282,89480,3
283,89481,3
284,89482,3
285,89483,4
286,89484,4
287,89485,3
288,89486,4
289,89487,3
290,89488,3
291,89489,3
292,89490,3
293,89491,2
294,89492,3
295,89493,4
296,89494,4
297,89495,4
298,89496,2
299,89497,3
300,89498,4
301,89499,3
302,89500,3
303,89501,3
304,89502,2
305,89503,4
306,89504,3
307,89505,4
308,89506,3
309,89507,3
310,89508,2
311,89509,3
312,89510,4
313,89511,4
314,89512,4
315,89513,3
316,89514,3
317,89515,3
318,89516,2
319,89517,4
320,89518,3
321,89519,4
322,89520,4
323,89521,3
324,89522,3
325,89523,3
326,89524,3
327,89525,4
328,89526,4
329,89527,3
330,89528,3
331,89529,2
332,89530,2
333,89531,3
334,89532,3
335,89533,2
336,89534,3
337,89535,3
338,89536,2
339,89537,3
340,89538,3
341,89539,3
342,89540,3
343,89541,3
344,89542,3
345,89543,3
346,89544,4
347,89545,3
348,89546,4
349,89547,4
350,89548,3
351,89549,2
352,89550,4
353,89551,3
354,89552,2
355,89553,3
356,89554,3
357,89555,3
358,89556,2
359,89557,2
360,89558,3
361,89559,3
362,89560,2
363,89561,4
364,89562,4
365,89563,3
366,89564,3
367,89565,3
368,89566,3
369,89567,2
370,89568,1
371,89569,4
372,89570,3
373,89571,4
374,89572,4
375,89573,3
376,89574,3
377,89575,3
378,89576,4
379,89577,3
380,89578,4
381,89579,4
382,89580,4
383,89581,4
384,89582,3
385,89583,3
386,89584,1
387,89585,3
388,89586,3
389,89587,4
390,89588,3
391,89589,3
392,89590,4
393,89591,3
394,89592,3
395,89593,3
396,89594,3
397,89595,4
398,89596,3
399,89597,4
400,89598,3
401,89599,2
402,89600,3
403,89601,4
404,89602,4
405,89603,3
406,89604,2
407,89605,2
408,89606,3
409,89607,3
410,89608,4
411,89609,4
412,89610,3
413,89611,2
414,89612,4
415,89613,4
416,89614,3
417,89615,4
418,89616,3
419,89617,3
420,89618,4
421,89619,4
422,89620,3
423,89621,4
424,89622,3
425,89623,3
426,89624,2
427,89625,3
428,89626,4
429,89627,3
430,89628,3
431,89629,3
432,89630,3
433,89631,2
434,89632,4
435,89633,4
436,89634,3
437,89635,3
438,89636,3
439,89637,4
440,89638,3
441,89639,3
442,89640,4
443,89641,4
444,89642,2
445,89643,4
446,89644,3
447,89645,3
448,89646,4
449,89647,4
450,89648,2
451,89649,3
452,89650,3
453,89651,2
454,89652,3
455,89653,3
456,89654,3
457,89655,4
458,89656,3
459,89657,3
460,89658,4
461,89659,3
462,89660,4
463,89661,3
464,89662,3
465,89663,4
466,89664,3
467,89665,3
468,89666,3
469,89667,2
470,89668,4
471,89669,3
472,89670,4
473,89671,3
474,89672,3
475,89673,2
476,89674,3
477,89675,3
478,89676,3
479,89677,4
480,89678,4
481,89679,3
482,89680,3
483,89681,4
484,89682,4
485,89683,4
486,89684,4
487,89685,3
488,89686,4
489,89687,3
490,89688,2
491,89689,4
492,89690,3
493,89691,3
494,89692,3
495,89693,3
496,89694,4
497,89695,4
498,89696,3
499,89697,3
500,89698,3
501,89699,3
502,89700,3
503,89701,4
504,89702,2
505,89703,3
506,89704,4
507,89705,3
508,89706,2
509,89707,4
510,89708,4
511,89709,2
512,89710,2
513,89711,3
514,89712,4
515,89713,3
516,89714,3
517,89715,2
518,89716,3
519,89717,2
520,89718,4
521,89719,2
522,89720,2
523,89721,3
524,89722,3
525,89723,2
526,89724,3
527,89725,3
528,89726,3
529,89727,3
530,89728,3
531,89729,2
532,89730,3
533,89731,4
534,89732,3
535,89733,3
536,89734,4
537,89735,4
538,89736,3
539,89737,3
540,89738,4
541,89739,4
542,89740,4
543,89741,3
544,89742,3
545,89743,3
546,89744,3
547,89745,4
548,89746,3
549,89747,3
550,89748,3
551,89749,3
552,89750,3
553,89751,3
554,89752,4
555,89753,2
556,89754,3
557,89755,3
558,89756,4
559,89757,2
560,89758,4
561,89759,3
562,89760,3
563,89761,3
564,89762,3
565,89763,3
566,89764,3
567,89765,4
568,89766,3
569,89767,3
570,89768,3
571,89769,3
572,89770,2
573,89771,4
574,89772,3
575,89773,3
576,89774,4
577,89775,3
578,89776,2
579,89777,4
580,89778,2
581,89779,4
582,89780,3
583,89781,2
584,89782,4
585,89783,4
586,89784,4
587,89785,3
588,89786,4
589,89787,3
590,89788,4
591,89789,4
592,89790,3
593,89791,4
594,89792,3
595,89793,3
596,89794,3
597,89795,3
598,89796,0
599,89797,4
600,89798,3
601,89799,3
602,89800,2
603,89801,3
604,89802,3
605,89803,4
606,89804,2
607,89805,3
608,89806,4
609,89807,3
610,89808,4
611,89809,3
612,89810,3
613,89811,3
614,89812,4
615,89813,4
616,89814,2
617,89815,2
618,89816,3
619,89817,3
620,89818,3
621,89819,2
622,89820,3
623,89821,3
624,89822,3
625,89823,3
626,89824,3
627,89825,4
628,89826,4
629,89827,4
630,89828,2
631,89829,2
632,89830,3
633,89831,4
634,89832,4
635,89833,3
636,89834,3
637,89835,3
638,89836,3
639,89837,3
640,89838,3
641,89839,4
642,89840,3
643,89841,4
644,89842,3
645,89843,4
646,89844,3
647,89845,2
648,89846,4
649,89847,2
650,89848,4
651,89849,3
652,89850,3
653,89851,3
654,89852,3
655,89853,3
656,89854,3
657,89855,2
658,89856,3
659,89857,4
660,89858,4
661,89859,3
662,89860,3
663,89861,4
664,89862,3
665,89863,4
666,89864,2
667,89865,2
668,89866,4
669,89867,2
670,89868,4
671,89869,2
672,89870,3
673,89871,4
674,89872,4
675,89873,3
676,89874,4
677,89875,2
678,89876,3
679,89877,4
680,89878,3
681,89879,3
682,89880,3
683,89881,3
684,89882,3
685,89883,3
686,89884,2
687,89885,3
688,89886,4
689,89887,4
690,89888,3
691,89889,3
692,89890,3
693,89891,4
694,89892,3
695,89893,3
696,89894,4
697,89895,3
698,89896,2
699,89897,3
700,89898,3
701,89899,4
702,89900,3
703,89901,4
704,89902,3
705,89903,4
706,89904,4
707,89905,2
708,89906,4
709,89907,2
710,89908,3
711,89909,3
712,89910,3
713,89911,3
714,89912,4
715,89913,3
716,89914,4
717,89915,4
718,89916,4
719,89917,2
720,89918,4
721,89919,3
722,89920,4
723,89921,4
724,89922,3
725,89923,3
726,89924,4
727,89925,3
728,89926,3
729,89927,3
730,89928,3
731,89929,4
732,89930,3
733,89931,4
734,89932,3
735,89933,2
736,89934,2
737,89935,2
738,89936,3
739,89937,3
740,89938,4
741,89939,4
742,89940,3
743,89941,3
744,89942,4
745,89943,2
746,89944,4
747,89945,3
748,89946,4
749,89947,3
750,89948,3
751,89949,4
752,89950,3
753,89951,4
754,89952,3
755,89953,3
756,89954,4
757,89955,3
758,89956,3
759,89957,3
760,89958,3
761,89959,3
762,89960,2
763,89961,3
764,89962,3
765,89963,3
766,89964,3
767,89965,2
768,89966,4
769,89967,3
770,89968,3
771,89969,3
772,89970,3
773,89971,3
774,89972,3
775,89973,4
776,89974,3
777,89975,3
778,89976,3
779,89977,4
780,89978,3
781,89979,3
782,89980,3
783,89981,4
784,89982,4
785,89983,3
786,89984,4
787,89985,4
788,89986,3
789,89987,4
790,89988,3
791,89989,4
792,89990,4
793,89991,3
794,89992,4
795,89993,3
796,89994,4
797,89995,3
798,89996,4
799,89997,4
800,89998,3
801,89999,3
802,90000,3
803,90001,4
804,90002,2
805,90003,3
806,90004,2
807,90005,4
808,90006,3
809,90007,3
810,90008,2
811,90009,4
812,90010,3
813,90011,3
814,90012,4
815,90013,2
816,90014,3
817,90015,2
818,90016,3
819,90017,3
820,90018,4
821,90019,2
822,90020,4
823,90021,3
824,90022,3
825,90023,4
826,90024,3
827,90025,3
828,90026,3
829,90027,3
830,90028,2
831,90029,4
