row_id,engagement_score
89198,4
89199,4
89200,3
89201,4
89202,2
89203,3
89204,3
89205,3
89206,3
89207,4
89208,4
89209,3
89210,3
89211,4
89212,3
89213,3
89214,2
89215,4
89216,3
89217,3
89218,3
89219,2
89220,3
89221,4
89222,3
89223,3
89224,4
89225,3
89226,2
89227,3
89228,3
89229,2
89230,2
89231,3
89232,3
89233,3
89234,3
89235,4
89236,2
89237,4
89238,3
89239,3
89240,3
89241,4
89242,3
89243,4
89244,4
89245,3
89246,3
89247,2
89248,3
89249,3
89250,3
89251,2
89252,3
89253,3
89254,2
89255,4
89256,3
89257,3
89258,3
89259,3
89260,2
89261,3
89262,3
89263,3
89264,4
89265,3
89266,3
89267,3
89268,3
89269,2
89270,3
89271,3
89272,3
89273,3
89274,2
89275,3
89276,3
89277,2
89278,4
89279,3
89280,3
89281,3
89282,3
89283,4
89284,4
89285,2
89286,3
89287,3
89288,4
89289,4
89290,3
89291,3
89292,4
89293,4
89294,3
89295,3
89296,4
89297,4
89298,3
89299,4
89300,3
89301,4
89302,3
89303,2
89304,4
89305,4
89306,3
89307,3
89308,3
89309,4
89310,4
89311,3
89312,3
89313,3
89314,4
89315,3
89316,3
89317,2
89318,2
89319,2
89320,2
89321,4
89322,3
89323,4
89324,2
89325,3
89326,4
89327,4
89328,3
89329,3
89330,3
89331,4
89332,3
89333,4
89334,3
89335,4
89336,3
89337,3
89338,4
89339,2
89340,3
89341,3
89342,3
89343,3
89344,3
89345,3
89346,3
89347,4
89348,3
89349,3
89350,4
89351,3
89352,3
89353,4
89354,3
89355,4
89356,4
89357,4
89358,3
89359,3
89360,4
89361,4
89362,3
89363,2
89364,4
89365,2
89366,3
89367,2
89368,4
89369,3
89370,3
89371,4
89372,3
89373,3
89374,2
89375,4
89376,4
89377,4
89378,4
89379,4
89380,4
89381,4
89382,2
89383,3
89384,3
89385,4
89386,3
89387,3
89388,4
89389,3
89390,4
89391,3
89392,4
89393,3
89394,3
89395,2
89396,3
89397,3
89398,3
89399,3
89400,2
89401,3
89402,3
89403,4
89404,3
89405,4
89406,2
89407,4
89408,3
89409,4
89410,3
89411,3
89412,3
89413,4
89414,3
89415,2
89416,3
89417,3
89418,2
89419,4
89420,2
89421,2
89422,3
89423,4
89424,3
89425,4
89426,2
89427,3
89428,4
89429,3
89430,3
89431,3
89432,3
89433,4
89434,4
89435,3
89436,3
89437,2
89438,3
89439,2
89440,4
89441,3
89442,3
89443,3
89444,3
89445,4
89446,3
89447,2
89448,3
89449,2
89450,2
89451,4
89452,4
89453,2
89454,2
89455,3
89456,2
89457,3
89458,4
89459,2
89460,3
89461,3
89462,4
89463,3
89464,2
89465,4
89466,4
89467,3
89468,3
89469,3
89470,3
89471,2
89472,4
89473,2
89474,3
89475,3
89476,3
89477,3
89478,3
89479,2
89480,3
89481,3
89482,3
89483,4
89484,4
89485,3
89486,4
89487,3
89488,3
89489,3
89490,3
89491,2
89492,3
89493,4
89494,4
89495,4
89496,2
89497,3
89498,4
89499,3
89500,3
89501,3
89502,2
89503,4
89504,3
89505,4
89506,3
89507,3
89508,2
89509,3
89510,4
89511,4
89512,4
89513,3
89514,3
89515,3
89516,2
89517,4
89518,3
89519,4
89520,4
89521,3
89522,3
89523,3
89524,3
89525,4
89526,4
89527,3
89528,3
89529,2
89530,2
89531,3
89532,3
89533,2
89534,3
89535,3
89536,2
89537,3
89538,3
89539,3
89540,3
89541,3
89542,3
89543,3
89544,4
89545,3
89546,4
89547,4
89548,3
89549,2
89550,4
89551,3
89552,2
89553,3
89554,3
89555,3
89556,2
89557,2
89558,3
89559,3
89560,2
89561,4
89562,4
89563,3
89564,3
89565,3
89566,3
89567,2
89568,1
89569,4
89570,3
89571,4
89572,4
89573,3
89574,3
89575,3
89576,4
89577,3
89578,4
89579,4
89580,4
89581,4
89582,3
89583,3
89584,1
89585,3
89586,3
89587,4
89588,3
89589,3
89590,4
89591,3
89592,3
89593,3
89594,3
89595,4
89596,3
89597,4
89598,3
89599,2
89600,3
89601,4
89602,4
89603,3
89604,2
89605,2
89606,3
89607,3
89608,4
89609,4
89610,3
89611,2
89612,4
89613,4
89614,3
89615,4
89616,3
89617,3
89618,4
89619,4
89620,3
89621,4
89622,3
89623,3
89624,2
89625,3
89626,4
89627,3
89628,3
89629,3
89630,3
89631,2
89632,4
89633,4
89634,3
89635,3
89636,3
89637,4
89638,3
89639,3
89640,4
89641,4
89642,2
89643,4
89644,3
89645,3
89646,4
89647,4
89648,2
89649,3
89650,3
89651,2
89652,3
89653,3
89654,3
89655,4
89656,3
89657,3
89658,4
89659,3
89660,4
89661,3
89662,3
89663,4
89664,3
89665,3
89666,3
89667,2
89668,4
89669,3
89670,4
89671,3
89672,3
89673,2
89674,3
89675,3
89676,3
89677,4
89678,4
89679,3
89680,3
89681,4
89682,4
89683,4
89684,4
89685,3
89686,4
89687,3
89688,2
89689,4
89690,3
89691,3
89692,3
89693,3
89694,4
89695,4
89696,3
89697,3
89698,3
89699,3
89700,3
89701,4
89702,2
89703,3
89704,4
89705,3
89706,2
89707,4
89708,4
89709,2
89710,2
89711,3
89712,4
89713,3
89714,3
89715,2
89716,3
89717,2
89718,4
89719,2
89720,2
89721,3
89722,3
89723,2
89724,3
89725,3
89726,3
89727,3
89728,3
89729,2
89730,3
89731,4
89732,3
89733,3
89734,4
89735,4
89736,3
89737,3
89738,4
89739,4
89740,4
89741,3
89742,3
89743,3
89744,3
89745,4
89746,3
89747,3
89748,3
89749,3
89750,3
89751,3
89752,4
89753,2
89754,3
89755,3
89756,4
89757,2
89758,4
89759,3
89760,3
89761,3
89762,3
89763,3
89764,3
89765,4
89766,3
89767,3
89768,3
89769,3
89770,2
89771,4
89772,3
89773,3
89774,4
89775,3
89776,2
89777,4
89778,2
89779,4
89780,3
89781,2
89782,4
89783,4
89784,4
89785,3
89786,4
89787,3
89788,4
89789,4
89790,3
89791,4
89792,3
89793,3
89794,3
89795,3
89796,0
89797,4
89798,3
89799,3
89800,2
89801,3
89802,3
89803,4
89804,2
89805,3
89806,4
89807,3
89808,4
89809,3
89810,3
89811,3
89812,4
89813,4
89814,2
89815,2
89816,3
89817,3
89818,3
89819,2
89820,3
89821,3
89822,3
89823,3
89824,3
89825,4
89826,4
89827,4
89828,2
89829,2
89830,3
89831,4
89832,4
89833,3
89834,3
89835,3
89836,3
89837,3
89838,3
89839,4
89840,3
89841,4
89842,3
89843,4
89844,3
89845,2
89846,4
89847,2
89848,4
89849,3
89850,3
89851,3
89852,3
89853,3
89854,3
89855,2
89856,3
89857,4
89858,4
89859,3
89860,3
89861,4
89862,3
89863,4
89864,2
89865,2
89866,4
89867,2
89868,4
89869,2
89870,3
89871,4
89872,4
89873,3
89874,4
89875,2
89876,3
89877,4
89878,3
89879,3
89880,3
89881,3
89882,3
89883,3
89884,2
89885,3
89886,4
89887,4
89888,3
89889,3
89890,3
89891,4
89892,3
89893,3
89894,4
89895,3
89896,2
89897,3
89898,3
89899,4
89900,3
89901,4
89902,3
89903,4
